attendance_id,student_id,enrollment_no,subject_id,subject_name,faculty_id,lecture_date,lecture_number,day_name,department_code,semester_no,academic_year,attendance_status
782,STU000032,2023010032,SUB0051,Human Computer Interaction,FAC006,2026-06-29,3,Monday,1,7,2026-2027,P
783,STU000033,2023010033,SUB0051,Human Computer Interaction,FAC006,2026-06-29,3,Monday,1,7,2026-2027,P
784,STU000034,2023010034,SUB0051,Human Computer Interaction,FAC006,2026-06-29,3,Monday,1,7,2026-2027,P
785,STU000035,2023010035,SUB0051,Human Computer Interaction,FAC006,2026-06-29,3,Monday,1,7,2026-2027,P
786,STU000036,2023010036,SUB0051,Human Computer Interaction,FAC006,2026-06-29,3,Monday,1,7,2026-2027,P
787,STU000037,2023010037,SUB0051,Human Computer Interaction,FAC006,2026-06-29,3,Monday,1,7,2026-2027,P
788,STU000038,2023010038,SUB0051,Human Computer Interaction,FAC006,2026-06-29,3,Monday,1,7,2026-2027,P
789,STU000039,2023010039,SUB0051,Human Computer Interaction,FAC006,2026-06-29,3,Monday,1,7,2026-2027,P
790,STU000040,2023010040,SUB0051,Human Computer Interaction,FAC006,2026-06-29,3,Monday,1,7,2026-2027,P
791,STU000041,2023010041,SUB0051,Human Computer Interaction,FAC006,2026-06-29,3,Monday,1,7,2026-2027,P
792,STU000042,2023010042,SUB0051,Human Computer Interaction,FAC006,2026-06-29,3,Monday,1,7,2026-2027,P
793,STU000043,2023010043,SUB0051,Human Computer Interaction,FAC006,2026-06-29,3,Monday,1,7,2026-2027,P
794,STU000044,2023010044,SUB0051,Human Computer Interaction,FAC006,2026-06-29,3,Monday,1,7,2026-2027,P
795,STU000045,2023010045,SUB0051,Human Computer Interaction,FAC006,2026-06-29,3,Monday,1,7,2026-2027,P
796,STU000046,2023010046,SUB0051,Human Computer Interaction,FAC006,2026-06-29,3,Monday,1,7,2026-2027,P
797,STU000047,2023010047,SUB0051,Human Computer Interaction,FAC006,2026-06-29,3,Monday,1,7,2026-2027,P
798,STU000048,2023010048,SUB0051,Human Computer Interaction,FAC006,2026-06-29,3,Monday,1,7,2026-2027,P
799,STU000049,2023010049,SUB0051,Human Computer Interaction,FAC006,2026-06-29,3,Monday,1,7,2026-2027,A
800,STU000050,2023010050,SUB0051,Human Computer Interaction,FAC006,2026-06-29,3,Monday,1,7,2026-2027,P
801,STU000001,2023010001,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
802,STU000001,2023010001,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
803,STU000002,2023010002,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
804,STU000002,2023010002,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
805,STU000003,2023010003,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,A
806,STU000003,2023010003,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
807,STU000004,2023010004,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
808,STU000004,2023010004,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
809,STU000005,2023010005,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
810,STU000005,2023010005,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
811,STU000006,2023010006,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
812,STU000006,2023010006,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
813,STU000007,2023010007,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
814,STU000007,2023010007,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
815,STU000008,2023010008,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
816,STU000008,2023010008,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
817,STU000009,2023010009,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
818,STU000009,2023010009,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
819,STU000010,2023010010,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
820,STU000010,2023010010,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
821,STU000011,2023010011,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
822,STU000011,2023010011,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,A
823,STU000012,2023010012,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
824,STU000012,2023010012,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
825,STU000013,2023010013,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
826,STU000013,2023010013,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
827,STU000014,2023010014,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,A
828,STU000014,2023010014,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
829,STU000015,2023010015,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
830,STU000015,2023010015,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
831,STU000016,2023010016,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
832,STU000016,2023010016,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
833,STU000017,2023010017,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
834,STU000017,2023010017,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
835,STU000018,2023010018,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
836,STU000018,2023010018,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,A
837,STU000019,2023010019,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
838,STU000019,2023010019,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
839,STU000020,2023010020,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
840,STU000020,2023010020,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
841,STU000021,2023010021,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,A
842,STU000021,2023010021,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
843,STU000022,2023010022,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
844,STU000022,2023010022,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
845,STU000023,2023010023,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
846,STU000023,2023010023,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
847,STU000024,2023010024,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
848,STU000024,2023010024,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
849,STU000025,2023010025,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
850,STU000025,2023010025,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,A
851,STU000026,2023010026,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
852,STU000026,2023010026,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
853,STU000027,2023010027,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
854,STU000027,2023010027,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
855,STU000028,2023010028,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,A
856,STU000028,2023010028,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
857,STU000029,2023010029,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
858,STU000029,2023010029,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
859,STU000030,2023010030,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
860,STU000030,2023010030,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
861,STU000031,2023010031,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
862,STU000031,2023010031,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
863,STU000032,2023010032,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
864,STU000032,2023010032,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
865,STU000033,2023010033,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
866,STU000033,2023010033,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
867,STU000034,2023010034,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
868,STU000034,2023010034,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
869,STU000035,2023010035,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
870,STU000035,2023010035,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
871,STU000036,2023010036,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
872,STU000036,2023010036,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,A
873,STU000037,2023010037,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
874,STU000037,2023010037,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
875,STU000038,2023010038,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
876,STU000038,2023010038,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
877,STU000039,2023010039,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,A
878,STU000039,2023010039,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
879,STU000040,2023010040,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
880,STU000040,2023010040,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
881,STU000041,2023010041,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
882,STU000041,2023010041,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
883,STU000042,2023010042,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
884,STU000042,2023010042,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
885,STU000043,2023010043,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
886,STU000043,2023010043,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,A
887,STU000044,2023010044,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
888,STU000044,2023010044,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
889,STU000045,2023010045,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
890,STU000045,2023010045,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
891,STU000046,2023010046,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,A
892,STU000046,2023010046,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
893,STU000047,2023010047,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
894,STU000047,2023010047,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,A
895,STU000048,2023010048,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
896,STU000048,2023010048,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
897,STU000049,2023010049,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
898,STU000049,2023010049,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,P
899,STU000050,2023010050,SUB0050,Software Engineering,FAC005,2026-06-29,4,Monday,1,7,2026-2027,P
900,STU000050,2023010050,SUB0053,Deep Learning,FAC008,2026-06-29,4,Monday,1,7,2026-2027,A
901,STU000001,2023010001,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
902,STU000002,2023010002,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
903,STU000003,2023010003,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
904,STU000004,2023010004,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
905,STU000005,2023010005,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,A
906,STU000006,2023010006,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
907,STU000007,2023010007,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
908,STU000008,2023010008,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
909,STU000009,2023010009,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
910,STU000010,2023010010,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
911,STU000011,2023010011,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
912,STU000012,2023010012,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
913,STU000013,2023010013,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,A
914,STU000014,2023010014,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
915,STU000015,2023010015,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
916,STU000016,2023010016,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
917,STU000017,2023010017,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
918,STU000018,2023010018,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
919,STU000019,2023010019,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
920,STU000020,2023010020,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
921,STU000021,2023010021,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,A
922,STU000022,2023010022,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
923,STU000023,2023010023,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
924,STU000024,2023010024,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
925,STU000025,2023010025,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
926,STU000026,2023010026,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
927,STU000027,2023010027,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
928,STU000028,2023010028,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
929,STU000029,2023010029,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,A
930,STU000030,2023010030,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
931,STU000031,2023010031,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
932,STU000032,2023010032,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
933,STU000033,2023010033,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
934,STU000034,2023010034,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
935,STU000035,2023010035,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
936,STU000036,2023010036,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
937,STU000037,2023010037,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,A
938,STU000038,2023010038,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
939,STU000039,2023010039,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
940,STU000040,2023010040,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
941,STU000041,2023010041,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
942,STU000042,2023010042,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
943,STU000043,2023010043,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
944,STU000044,2023010044,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
945,STU000045,2023010045,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,A
946,STU000046,2023010046,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
947,STU000047,2023010047,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
948,STU000048,2023010048,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
949,STU000049,2023010049,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
950,STU000050,2023010050,SUB0052,"Innovation, Start-up & Entrepreneurship",FAC007,2026-06-30,2,Tuesday,1,7,2026-2027,P
951,STU000001,2023010001,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
952,STU000002,2023010002,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
953,STU000003,2023010003,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
954,STU000004,2023010004,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
955,STU000005,2023010005,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,A
956,STU000006,2023010006,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
957,STU000007,2023010007,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
958,STU000008,2023010008,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
959,STU000009,2023010009,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
960,STU000010,2023010010,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
961,STU000011,2023010011,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
962,STU000012,2023010012,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,A
963,STU000013,2023010013,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
964,STU000014,2023010014,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
965,STU000015,2023010015,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
966,STU000016,2023010016,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
967,STU000017,2023010017,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
968,STU000018,2023010018,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
969,STU000019,2023010019,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
970,STU000020,2023010020,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
971,STU000021,2023010021,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
972,STU000022,2023010022,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
973,STU000023,2023010023,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
974,STU000024,2023010024,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
975,STU000025,2023010025,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
976,STU000026,2023010026,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
977,STU000027,2023010027,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
978,STU000028,2023010028,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,A
979,STU000029,2023010029,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
980,STU000030,2023010030,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
981,STU000031,2023010031,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
982,STU000032,2023010032,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
983,STU000033,2023010033,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
984,STU000034,2023010034,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
985,STU000035,2023010035,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
986,STU000036,2023010036,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
987,STU000037,2023010037,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,A
988,STU000038,2023010038,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
989,STU000039,2023010039,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
990,STU000040,2023010040,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
991,STU000041,2023010041,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
992,STU000042,2023010042,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
993,STU000043,2023010043,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
994,STU000044,2023010044,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,A
995,STU000045,2023010045,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
996,STU000046,2023010046,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
997,STU000047,2023010047,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
998,STU000048,2023010048,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
999,STU000049,2023010049,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
1000,STU000050,2023010050,SUB0054,Natural Language Processing,FAC009,2026-06-30,3,Tuesday,1,7,2026-2027,P
1001,STU000001,2023010001,SUB0053,Deep Learning,FAC008,2026-06-30,5,Tuesday,1,7,2026-2027,A
1002,STU000002,2023010002,SUB0053,Deep Learning,FAC008,2026-06-30,5,Tuesday,1,7,2026-2027,P
1003,STU000003,2023010003,SUB0053,Deep Learning,FAC008,2026-06-30,5,Tuesday,1,7,2026-2027,P
1004,STU000004,2023010004,SUB0053,Deep Learning,FAC008,2026-06-30,5,Tuesday,1,7,2026-2027,P
1005,STU000005,2023010005,SUB0053,Deep Learning,FAC008,2026-06-30,5,Tuesday,1,7,2026-2027,P
1006,STU000006,2023010006,SUB0053,Deep Learning,FAC008,2026-06-30,5,Tuesday,1,7,2026-2027,P
1007,STU000007,2023010007,SUB0053,Deep Learning,FAC008,2026-06-30,5,Tuesday,1,7,2026-2027,P
1008,STU000008,2023010008,SUB0053,Deep Learning,FAC008,2026-06-30,5,Tuesday,1,7,2026-2027,P
1009,STU000009,2023010009,SUB0053,Deep Learning,FAC008,2026-06-30,5,Tuesday,1,7,2026-2027,P
1010,STU000010,2023010010,SUB0053,Deep Learning,FAC008,2026-06-30,5,Tuesday,1,7,2026-2027,P
1011,STU000011,2023010011,SUB0053,Deep Learning,FAC008,2026-06-30,5,Tuesday,1,7,2026-2027,P
1012,STU000012,2023010012,SUB0053,Deep Learning,FAC008,2026-06-30,5,Tuesday,1,7,2026-2027,A
1013,STU000013,2023010013,SUB0053,Deep Learning,FAC008,2026-06-30,5,Tuesday,1,7,2026-2027,P
1014,STU000014,2023010014,SUB0053,Deep Learning,FAC008,2026-06-30,5,Tuesday,1,7,2026-2027,P
1015,STU000015,2023010015,SUB0053,Deep Learning,FAC008,2026-06-30,5,Tuesday,1,7,2026-2027,P
